timestamp,bicycle,car,motorbike,bus,truck,person,bird,cat,dog,umbrella,suitcase,other
20240109_000011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_001011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_002011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_003011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_004011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_005011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_010011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_011011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_012011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_013011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_014011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_015011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_020011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_021011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_022010,0,0,0,0,0,0,0,0,0,0,0,0
20240109_023010,0,0,0,0,0,0,0,0,0,0,0,0
20240109_024010,0,0,0,0,0,0,0,0,0,0,0,0
20240109_025010,0,0,0,0,0,0,0,0,0,0,0,0
20240109_030010,0,0,0,0,0,0,0,0,0,0,0,0
20240109_031011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_032011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_033011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_034011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_035011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_040011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_041011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_042011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_043011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_044011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_045011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_050011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_051010,0,0,0,0,0,0,0,0,0,0,0,0
20240109_052010,0,0,0,0,0,0,0,0,0,0,0,0
20240109_053010,0,0,0,0,0,0,0,0,0,0,0,0
20240109_054011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_055011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_060011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_061011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_062011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_063011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_064011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_065011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_070011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_071011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_072011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_073011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_074010,0,0,0,0,0,0,0,0,0,0,0,0
20240109_075010,0,0,0,0,0,0,0,0,0,0,0,0
20240109_080010,0,0,0,0,0,0,0,0,0,0,0,0
20240109_081011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_082011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_083011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_084011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_085011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_090011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_091011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_092011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_093011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_094011,0,0,0,0,0,0,0,0,0,0,0,0
20240109_095011,0,0,0,0,0,0,0,0,0,0,0,0
