timestamp,bicycle,car,motorbike,bus,truck,person,bird,cat,dog,umbrella,suitcase,other
20240107_000011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_001011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_002011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_003011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_004011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_005011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_010011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_011011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_012011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_013011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_014010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_015010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_020010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_021011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_022011,0,1,0,0,0,0,0,0,0,0,0,0
20240107_023011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_024011,0,0,0,1,0,0,0,0,0,0,0,0
20240107_025011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_030011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_031011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_032011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_033011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_034011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_035011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_040011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_041010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_042011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_043010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_044010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_045011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_050011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_051011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_052011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_053011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_054011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_055011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_060011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_061011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_062011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_063011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_064011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_065011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_070010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_071011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_072011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_073011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_074011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_075011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_080011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_081010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_082010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_083010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_084010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_085011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_090011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_091011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_092011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_093011,0,3,0,0,1,0,0,0,0,0,0,0
20240107_094011,0,5,0,0,0,0,0,0,0,0,0,0
20240107_095011,0,1,0,0,0,0,0,0,0,0,0,0
20240107_100011,0,6,0,0,0,1,0,0,0,0,0,0
20240107_101011,0,3,0,0,0,0,0,0,0,0,0,1
20240107_102011,0,0,0,0,1,0,0,0,0,0,0,0
20240107_103011,0,1,0,0,0,0,0,0,0,0,0,1
20240107_104011,0,3,0,0,0,0,0,0,0,0,0,0
20240107_105011,0,2,0,0,0,0,0,0,0,0,0,0
20240107_110011,0,2,0,0,0,0,0,0,0,0,0,0
20240107_111011,0,2,0,0,0,0,0,0,0,0,0,3
20240107_112011,0,2,0,0,0,0,0,0,0,0,1,1
20240107_113011,0,3,0,0,0,0,0,0,0,0,0,0
20240107_114010,0,3,0,0,1,0,0,0,0,0,0,0
20240107_115010,0,2,0,0,0,0,0,0,0,0,0,0
20240107_120011,0,1,0,0,1,0,0,0,0,0,0,1
20240107_121011,0,2,0,0,0,0,0,0,0,0,0,1
20240107_122011,0,2,0,0,0,0,0,0,0,0,0,0
20240107_123011,0,3,0,0,0,0,0,0,0,0,0,0
20240107_124011,0,1,0,0,3,0,0,0,0,0,0,0
20240107_125011,0,1,0,0,0,0,0,0,0,0,0,0
20240107_130011,0,1,0,0,0,0,0,0,0,0,0,0
20240107_131011,0,2,0,0,0,0,0,0,0,0,0,0
20240107_132011,0,2,0,0,0,0,0,0,0,0,0,0
20240107_133011,0,2,0,0,0,0,0,0,0,0,0,0
20240107_134011,0,2,0,0,0,0,0,0,0,0,0,0
20240107_135011,0,1,0,0,0,0,0,0,0,0,0,0
20240107_140011,0,3,0,0,1,0,0,0,0,0,0,1
20240107_141011,0,3,0,0,1,0,0,0,0,0,0,0
20240107_142011,0,2,0,0,0,0,0,0,0,0,0,1
20240107_143011,0,5,0,0,0,0,0,0,0,0,0,0
20240107_144011,0,2,0,0,2,0,0,0,0,0,0,0
20240107_145010,0,2,0,0,0,0,0,0,0,0,0,0
20240107_150010,0,1,0,0,1,0,0,0,0,0,0,1
20240107_151010,0,2,0,0,1,0,0,0,0,0,0,1
20240107_152010,0,2,0,0,0,0,0,0,0,0,0,0
20240107_153010,0,1,0,0,1,0,0,0,0,0,0,0
20240107_154011,0,3,0,0,0,0,0,0,0,0,0,0
20240107_155011,0,2,0,0,0,0,0,0,0,0,0,1
20240107_160011,0,2,0,0,0,0,0,0,0,0,0,0
20240107_161011,0,2,0,0,0,0,0,0,0,0,0,0
20240107_162011,0,5,0,0,0,0,0,0,0,0,0,0
20240107_163011,0,3,0,0,0,0,0,0,0,0,0,0
20240107_164011,0,3,0,0,1,0,0,0,0,0,0,0
20240107_165011,0,2,0,0,0,0,0,0,0,0,0,1
20240107_170012,0,1,0,0,0,0,0,0,0,0,0,0
20240107_171011,0,1,0,0,1,0,0,0,0,0,0,0
20240107_172011,0,1,0,0,0,0,0,0,0,0,0,0
20240107_173011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_174011,0,0,0,0,0,1,0,0,0,0,0,0
20240107_175011,0,0,0,0,0,1,0,0,0,0,0,0
20240107_180011,0,1,0,0,0,0,0,0,0,0,0,1
20240107_181011,0,1,0,0,0,0,0,0,0,0,0,0
20240107_182011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_183011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_184011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_185011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_190011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_191010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_192010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_193010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_194010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_195010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_200010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_201010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_202010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_203011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_204011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_205011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_210011,0,1,0,0,0,0,0,0,0,0,0,0
20240107_211011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_212011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_213011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_214011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_215011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_220011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_221011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_222011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_223010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_224010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_225010,0,0,0,0,0,0,0,0,0,0,0,0
20240107_230011,0,1,0,0,0,0,0,0,0,0,0,0
20240107_231011,0,1,0,0,0,0,0,0,0,0,0,0
20240107_232011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_233011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_234011,0,0,0,0,0,0,0,0,0,0,0,0
20240107_235011,0,0,0,0,0,0,0,0,0,0,0,0
