timestamp,bicycle,car,motorbike,bus,truck,person,bird,cat,dog,umbrella,suitcase,other
20240112_000011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_001010,0,0,0,0,0,0,0,0,0,0,0,0
20240112_002010,0,0,0,0,0,0,0,0,0,0,0,0
20240112_003011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_004011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_005011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_010011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_011011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_012011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_013011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_014010,0,0,0,0,0,0,0,0,0,0,0,0
20240112_015011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_020011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_021011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_022011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_023011,0,1,0,0,0,0,0,0,0,0,0,0
20240112_024011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_025011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_030011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_031011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_032011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_033011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_034011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_035011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_040011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_041011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_042011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_043011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_044011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_045010,0,0,0,0,0,0,0,0,0,0,0,0
20240112_050010,0,0,0,0,0,0,0,0,0,0,0,0
20240112_051011,0,1,0,0,0,0,0,0,0,0,0,0
20240112_052011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_053011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_054011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_055011,0,0,0,0,0,1,0,0,0,0,0,0
20240112_060011,0,1,0,0,0,0,0,0,0,0,0,0
20240112_061011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_062011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_063011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_064011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_065010,0,1,0,0,1,0,0,0,0,0,0,0
20240112_070010,0,2,0,0,0,0,0,0,0,0,0,0
20240112_071010,0,2,0,0,0,0,0,0,0,0,0,0
20240112_072010,0,3,0,0,0,1,0,0,0,0,0,0
20240112_073010,0,3,0,0,0,0,0,0,0,0,0,0
20240112_074011,0,3,0,0,0,0,0,0,0,0,0,0
20240112_075011,0,3,0,0,0,0,0,0,0,0,0,0
20240112_080011,0,2,0,0,0,0,0,0,0,0,0,0
20240112_081011,0,2,0,0,0,0,0,0,0,0,0,0
20240112_082011,0,4,0,0,0,1,0,0,0,0,0,0
20240112_083011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_084011,0,2,0,0,0,0,0,0,0,0,0,0
20240112_085011,0,2,0,0,0,0,0,0,0,0,0,0
20240112_090011,0,1,0,0,0,0,0,0,0,0,0,0
20240112_091011,0,3,0,0,0,0,0,0,0,0,0,0
20240112_092011,0,1,0,0,0,0,0,0,0,0,0,0
20240112_093011,0,1,0,0,0,0,0,0,0,0,0,0
20240112_094011,0,3,0,0,0,0,0,0,0,0,0,0
20240112_095011,0,2,0,0,1,0,0,0,0,0,0,0
20240112_100011,0,3,0,0,0,0,0,0,0,0,0,0
20240112_101011,0,2,0,0,0,0,0,0,0,0,0,0
20240112_102011,0,3,0,0,0,0,0,0,0,0,0,0
20240112_103011,0,2,0,0,0,0,0,0,0,0,0,0
20240112_104011,0,1,0,0,0,0,0,0,0,0,0,0
20240112_105011,0,2,0,0,0,0,0,0,0,0,1,0
20240112_110010,0,3,0,0,0,0,0,0,0,0,0,0
20240112_111011,0,5,0,0,0,0,0,0,0,0,0,0
20240112_112011,0,3,0,0,0,0,0,0,0,0,0,0
20240112_113011,0,2,0,0,0,0,0,0,0,0,0,1
20240112_114011,0,3,0,0,0,0,0,0,0,0,0,0
20240112_115011,0,3,0,0,0,0,0,0,0,0,0,0
20240112_120011,0,3,0,0,0,0,0,0,0,0,0,0
20240112_121011,0,4,0,0,1,0,0,0,0,0,0,0
20240112_122011,0,3,0,0,0,1,0,0,0,0,0,0
20240112_123011,0,3,0,0,0,0,0,0,0,0,0,1
20240112_124011,0,2,0,0,0,0,0,0,0,0,0,0
20240112_125011,0,4,0,0,0,0,0,0,0,0,0,0
20240112_130011,0,4,0,0,1,0,0,0,0,0,0,0
20240112_131011,0,5,0,0,2,0,0,0,0,0,1,0
20240112_132011,0,3,0,0,2,0,0,0,0,0,1,0
20240112_133011,0,4,0,0,3,0,0,0,0,0,0,0
20240112_134011,0,4,0,0,1,0,0,0,0,0,0,0
20240112_135011,0,4,0,0,1,0,0,0,0,0,0,0
20240112_140011,0,3,0,0,1,0,0,0,0,0,0,0
20240112_141010,0,4,0,0,2,0,0,0,0,0,0,0
20240112_142011,0,3,0,0,1,0,0,0,0,0,0,0
20240112_143011,0,3,0,0,1,0,0,0,0,0,0,0
20240112_144011,0,3,0,0,1,0,0,0,0,0,0,0
20240112_145011,0,0,0,0,1,0,0,0,0,0,0,0
20240112_150011,0,3,0,0,0,0,0,0,0,0,0,0
20240112_151011,0,2,0,0,1,0,0,0,0,0,0,0
20240112_152011,0,4,0,0,1,0,0,0,0,0,0,0
20240112_153011,0,3,0,0,1,0,0,0,0,0,0,0
20240112_154011,0,4,0,0,1,0,0,0,0,0,0,0
20240112_155011,0,3,0,0,1,0,0,0,0,0,0,0
20240112_160011,0,4,0,0,0,0,0,0,0,0,0,0
20240112_161011,0,4,0,0,1,0,0,0,0,0,0,0
20240112_162011,0,4,0,0,1,0,0,0,0,0,0,0
20240112_163011,0,1,0,0,3,0,0,0,0,0,0,0
20240112_164011,0,5,0,0,2,0,0,0,0,0,0,0
20240112_165011,0,4,0,0,0,0,0,0,0,0,0,1
20240112_170011,0,7,0,0,1,0,0,0,0,0,0,0
20240112_171011,0,6,0,0,1,0,0,0,0,0,0,0
20240112_172011,0,3,0,0,0,0,0,0,0,0,0,0
20240112_173011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_174011,0,1,0,0,0,0,0,0,0,0,0,0
20240112_175011,0,0,0,0,0,0,0,0,0,0,0,1
20240112_180010,0,0,0,0,0,0,0,0,0,0,0,1
20240112_181010,0,2,0,0,0,0,0,0,0,0,0,0
20240112_182011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_183010,0,1,0,0,0,0,0,0,0,0,0,0
20240112_184010,0,0,0,0,0,0,0,0,0,0,0,0
20240112_185011,0,3,0,0,0,0,0,0,0,0,0,0
20240112_190011,0,1,0,0,0,0,0,0,0,0,0,0
20240112_191011,0,1,0,0,0,0,0,0,0,0,0,0
20240112_192011,0,2,0,0,0,0,0,0,0,0,0,0
20240112_193011,0,1,0,0,0,0,0,0,0,0,0,0
20240112_194011,0,1,0,0,0,0,0,0,0,0,0,0
20240112_195011,0,2,0,0,0,0,0,0,0,0,0,0
20240112_200011,0,1,0,0,0,0,0,0,0,0,0,0
20240112_201011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_202011,0,2,0,0,0,0,0,0,0,0,0,0
20240112_203010,0,0,0,0,0,0,0,0,0,0,0,0
20240112_204011,0,1,0,0,0,0,0,0,0,0,0,0
20240112_205011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_210011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_211010,0,0,0,0,0,0,0,0,0,0,0,0
20240112_212010,0,3,0,0,0,0,0,0,0,0,0,0
20240112_213011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_214011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_215011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_220011,0,0,0,0,0,0,0,0,0,0,0,0
20240112_221011,0,0,0,0,0,0,0,0,0,0,0,0
