timestamp,bicycle,car,motorbike,bus,truck,person,bird,cat,dog,umbrella,suitcase,other
20240110_000011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_001011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_002011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_003011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_004010,0,0,0,0,0,0,0,0,0,0,0,0
20240110_005010,0,1,0,0,0,0,0,0,0,0,0,0
20240110_010010,0,0,0,0,0,0,0,0,0,0,0,0
20240110_011010,0,0,0,0,0,0,0,0,0,0,0,0
20240110_012010,0,0,0,0,0,0,0,0,0,0,0,0
20240110_013010,0,0,0,0,0,0,0,0,0,0,0,0
20240110_014011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_015011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_020011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_021011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_022011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_023011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_024011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_025011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_030011,0,1,0,0,0,0,0,0,0,0,0,0
20240110_031011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_032011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_033011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_034011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_035011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_040011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_041011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_042011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_043011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_044011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_045011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_050010,0,0,0,0,0,0,0,0,0,0,0,0
20240110_051010,0,0,0,0,0,0,0,0,0,0,0,0
20240110_052010,0,0,0,0,0,0,0,0,0,0,0,0
20240110_053011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_054011,0,1,0,0,0,0,0,0,0,0,0,0
20240110_055011,0,1,0,0,0,0,0,0,0,0,0,0
20240110_060011,0,1,0,0,0,0,0,0,0,0,0,0
20240110_061011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_062011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_063011,0,1,0,0,0,0,0,0,0,0,0,0
20240110_064011,0,2,0,0,0,0,0,0,0,0,0,0
20240110_065011,0,2,0,0,0,0,0,0,0,0,0,0
20240110_070011,0,5,0,0,0,0,0,0,0,0,0,0
20240110_071011,0,3,0,0,0,0,0,0,0,0,0,0
20240110_072011,0,5,0,0,0,0,0,0,0,0,0,0
20240110_073011,0,5,0,0,0,0,0,0,0,0,0,0
20240110_074011,0,2,0,0,0,0,0,0,0,0,0,0
20240110_075011,0,1,0,0,1,0,0,0,0,0,0,0
20240110_080011,0,1,0,0,0,0,0,0,0,0,0,0
20240110_081011,0,1,0,0,1,0,0,0,0,0,0,0
20240110_082011,0,2,0,0,0,0,0,0,0,0,0,0
20240110_083011,0,2,0,0,0,0,0,0,0,0,0,0
20240110_084011,0,1,0,0,0,0,0,0,0,0,0,0
20240110_085010,0,1,0,0,0,0,0,0,0,0,0,0
20240110_090011,0,0,0,0,1,0,0,0,0,0,0,0
20240110_091011,0,1,0,0,0,0,0,0,0,0,0,1
20240110_092011,0,1,0,0,0,0,0,0,0,0,0,0
20240110_093011,0,5,0,0,1,1,0,0,0,0,0,0
20240110_094011,0,1,0,0,0,0,0,0,0,0,1,0
20240110_095011,0,2,0,0,0,0,0,0,0,0,0,0
20240110_100011,0,1,0,0,0,0,0,0,0,0,0,2
20240110_101011,0,6,0,0,0,0,0,0,0,0,0,0
20240110_102011,0,3,0,0,1,0,0,0,0,0,0,0
20240110_103011,0,2,0,0,0,0,0,0,0,0,0,0
20240110_104010,0,3,0,0,0,0,0,0,0,0,0,0
20240110_105010,0,1,0,0,1,0,0,0,0,0,0,1
20240110_110010,0,3,0,0,0,0,0,0,0,0,0,1
20240110_111010,0,2,0,0,0,0,0,0,0,0,0,2
20240110_112011,0,1,0,0,0,0,0,0,0,0,0,2
20240110_113011,0,2,0,0,2,0,0,0,0,0,0,0
20240110_114011,0,1,0,0,0,0,0,0,0,0,0,2
20240110_115011,0,3,0,0,1,0,0,0,0,0,0,0
20240110_120011,0,0,0,0,2,0,0,0,0,0,0,1
20240110_121011,0,3,0,0,2,0,0,0,0,0,0,0
20240110_122011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_123011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_124011,0,5,0,0,0,0,0,0,0,0,0,1
20240110_125011,0,3,0,0,1,0,0,0,0,0,0,1
20240110_130011,0,4,0,0,0,0,0,0,0,0,0,0
20240110_131011,0,6,0,0,1,0,0,0,0,0,0,0
20240110_132011,0,2,0,0,1,0,0,0,0,0,0,0
20240110_133011,0,3,0,0,1,0,0,0,0,0,0,1
20240110_134011,0,2,0,0,2,0,0,0,0,0,0,0
20240110_135011,0,3,0,0,1,0,0,0,0,0,0,0
20240110_140011,0,5,0,0,0,0,0,0,0,0,0,0
20240110_141011,0,4,0,0,0,0,0,0,0,0,0,0
20240110_142011,0,2,0,0,1,0,0,0,0,0,0,0
20240110_143011,0,3,0,0,0,0,0,0,0,0,0,0
20240110_144011,0,3,0,0,0,0,0,0,0,0,0,0
20240110_145011,0,3,0,0,1,0,0,0,0,0,0,0
20240110_150010,0,1,0,0,0,0,0,0,0,0,0,0
20240110_151010,0,3,0,0,1,0,0,0,0,0,0,0
20240110_152010,0,3,0,1,0,1,0,0,0,0,0,0
20240110_153010,0,3,0,0,0,0,0,0,0,0,0,0
20240110_154010,0,3,0,0,0,0,0,0,0,0,0,1
20240110_155011,0,2,0,0,0,0,0,0,0,0,0,0
20240110_160011,0,3,0,0,1,0,0,0,0,0,0,0
20240110_161011,0,2,0,0,1,0,0,0,0,0,0,0
20240110_162011,0,2,0,0,0,0,0,0,0,0,0,0
20240110_163012,0,4,0,0,0,1,0,0,0,0,0,0
20240110_164010,0,2,0,0,0,0,0,0,0,0,0,0
20240110_165011,0,4,0,0,0,0,0,0,0,0,0,0
20240110_170011,0,4,0,0,0,0,0,0,0,0,0,0
20240110_171011,0,3,0,0,0,0,0,0,0,0,0,0
20240110_172010,0,1,0,0,0,0,0,0,0,0,0,0
20240110_173010,0,0,0,0,0,0,0,0,0,0,0,0
20240110_174010,0,1,0,0,0,0,0,0,0,0,0,0
20240110_175010,0,1,0,0,0,0,0,0,0,0,0,1
20240110_180010,0,4,0,0,0,0,0,0,0,0,0,1
20240110_181010,0,2,0,0,0,0,0,0,0,0,0,0
20240110_182010,0,2,0,0,0,0,0,0,0,0,0,0
20240110_183011,0,1,0,0,0,0,0,0,0,0,0,0
20240110_184010,0,1,0,0,0,0,0,0,0,0,0,0
20240110_185010,0,0,0,0,0,0,0,0,0,0,0,0
20240110_190010,0,0,0,0,0,0,0,0,0,0,0,0
20240110_191011,0,1,0,0,0,0,0,0,0,0,0,0
20240110_192011,0,0,0,0,0,1,0,0,0,0,0,0
20240110_193011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_194011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_195011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_200011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_201011,0,1,0,0,0,1,0,0,0,0,0,0
20240110_202011,0,0,0,0,0,1,0,0,0,0,0,0
20240110_203011,0,2,0,0,0,1,0,0,0,0,0,0
20240110_204011,0,1,0,0,0,1,0,0,0,0,0,0
20240110_205011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_210011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_211011,0,1,0,0,0,0,0,0,0,0,0,0
20240110_212011,0,1,0,0,0,0,0,0,0,0,0,0
20240110_213011,0,1,0,0,0,0,0,0,0,0,0,0
20240110_214010,0,0,0,0,0,0,0,0,0,0,0,0
20240110_215010,0,1,0,0,0,0,0,0,0,0,0,0
20240110_220011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_221011,0,1,0,0,0,0,0,0,0,0,0,0
20240110_222011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_223010,0,1,0,0,0,0,0,0,0,0,0,0
20240110_224010,0,1,0,0,0,0,0,0,0,0,0,0
20240110_225010,0,0,0,0,0,0,0,0,0,0,0,0
20240110_230010,0,0,0,0,0,0,0,0,0,0,0,0
20240110_231011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_232010,0,0,0,0,0,0,0,0,0,0,0,0
20240110_233011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_234011,0,0,0,0,0,0,0,0,0,0,0,0
20240110_235011,0,0,0,0,0,0,0,0,0,0,0,0
