timestamp,bicycle,car,motorbike,bus,truck,person,bird,cat,dog,umbrella,suitcase,other
20240106_162459,0,2,0,0,2,0,0,0,0,0,0,0
20240106_162553,0,2,0,0,2,0,0,0,0,0,0,0
20240106_162925,0,2,0,0,2,0,0,0,0,0,0,0
20240106_163152,0,5,0,1,0,0,0,0,0,0,0,2
20240106_163928,0,5,0,0,0,1,0,0,0,0,0,0
20240106_164012,0,6,0,1,0,0,0,0,0,0,0,0
20240106_165011,0,2,0,0,1,0,0,0,0,0,0,0
20240106_170011,0,2,0,0,0,0,0,0,0,0,0,0
20240106_171011,0,1,0,0,0,0,0,0,0,0,0,0
20240106_172011,0,0,0,0,0,2,0,0,0,0,0,0
20240106_173011,0,0,0,0,0,0,0,0,0,0,0,0
20240106_174011,0,0,0,0,0,0,0,0,0,0,0,0
20240106_175011,0,0,0,0,0,1,0,0,0,0,0,0
20240106_180010,0,0,0,0,0,0,0,0,0,0,0,0
20240106_181010,0,0,0,0,0,0,0,0,0,0,0,0
20240106_182010,0,0,0,0,0,0,0,0,0,0,0,1
20240106_183010,0,2,0,0,0,1,0,0,0,0,0,0
20240106_184010,0,0,0,0,0,0,0,0,0,0,0,0
20240106_185010,0,0,0,0,0,0,0,0,0,0,0,0
20240106_190010,0,0,0,0,0,0,0,0,0,0,0,0
20240106_191010,0,0,0,0,0,0,0,0,0,0,0,0
20240106_192010,0,0,0,0,0,0,0,0,0,0,0,0
20240106_193010,0,0,0,0,0,0,0,0,0,0,0,0
20240106_194010,0,0,0,0,0,0,0,0,0,0,0,0
20240106_195010,0,0,0,0,0,0,0,0,0,0,0,0
20240106_200011,0,0,0,0,0,0,0,0,0,0,0,0
20240106_201011,0,0,0,0,0,0,0,0,0,0,0,0
20240106_202010,0,0,0,0,0,0,0,0,0,0,0,0
20240106_203011,0,0,0,0,0,0,0,0,0,0,0,0
20240106_204011,0,0,0,0,0,0,0,0,0,0,0,0
20240106_205011,0,0,0,0,0,0,0,0,0,0,0,0
20240106_210011,0,1,0,0,0,0,0,0,0,0,0,0
20240106_211011,0,0,0,0,0,0,0,0,0,0,0,0
20240106_212011,0,0,0,0,0,0,0,0,0,0,0,0
20240106_213011,0,0,0,0,0,0,0,0,0,0,0,0
20240106_214011,0,0,0,0,0,0,0,0,0,0,0,0
20240106_215011,0,0,0,0,0,0,0,0,0,0,0,0
20240106_220011,0,0,0,0,0,0,0,0,0,0,0,0
20240106_221010,0,0,0,0,0,0,0,0,0,0,0,0
20240106_222010,0,0,0,0,0,0,0,0,0,0,0,0
20240106_223010,0,0,0,0,0,0,0,0,0,0,0,0
20240106_224010,0,0,0,0,0,0,0,0,0,0,0,0
20240106_225010,0,0,0,0,0,0,0,0,0,0,0,0
20240106_230010,0,0,0,0,0,0,0,0,0,0,0,0
20240106_231011,0,0,0,0,0,0,0,0,0,0,0,0
20240106_232011,0,0,0,0,0,0,0,0,0,0,0,0
20240106_233011,0,0,0,0,0,0,0,0,0,0,0,0
20240106_234011,0,0,0,0,0,0,0,0,0,0,0,0
20240106_235011,0,0,0,0,0,0,0,0,0,0,0,0
